State,City,Population,Black,American Indian/Alaskan Native,Asian,Native Hawaiian / Pacific Islander,Hispanic/Latino,White,Other,Two or More
 Alabama,Redland,4331.0,623.0,0.0,0.0,0.0,15.0,3501.0,20.0,172.0
 Alabama,Riverview,138.0,0.0,0.0,0.0,0.0,14.0,124.0,0.0,7.0
 Alabama,Samson,2103.0,370.0,3.0,0.0,0.0,137.0,1580.0,43.0,58.0
 Alabama,Sand Rock,590.0,0.0,8.0,0.0,0.0,5.0,575.0,0.0,2.0
 Alabama,Sanford,212.0,4.0,0.0,0.0,0.0,4.0,194.0,7.0,7.0
 Alabama,South Vinemont,545.0,46.0,0.0,13.0,0.0,86.0,400.0,2.0,0.0
 Alabama,Southside,8514.0,128.0,23.0,121.0,0.0,148.0,8094.0,0.0,0.0
 Alabama,Somerville,691.0,24.0,18.0,0.0,0.0,3.0,646.0,3.0,0.0
 Alabama,Snead,765.0,11.0,0.0,0.0,0.0,7.0,739.0,11.0,0.0
 Alabama,Smoke Rise,2443.0,0.0,0.0,0.0,0.0,45.0,2385.0,0.0,13.0
 Alabama,Smiths Station,5165.0,678.0,101.0,0.0,0.0,78.0,4125.0,0.0,203.0
 Alabama,Slocomb,1880.0,427.0,0.0,0.0,0.0,111.0,1318.0,0.0,51.0
 Alabama,Skyline,1048.0,0.0,32.0,0.0,0.0,106.0,835.0,106.0,75.0
 Alabama,Sipsey,473.0,163.0,0.0,0.0,0.0,42.0,261.0,0.0,7.0
 Alabama,Sims Chapel,163.0,0.0,21.0,0.0,0.0,0.0,142.0,0.0,0.0
 Alabama,Silverhill,654.0,0.0,8.0,12.0,0.0,11.0,621.0,0.0,13.0
 Alabama,Silas,680.0,195.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0
 Alabama,Shorter,436.0,293.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0
 Alabama,Shoal Creek,1481.0,48.0,0.0,23.0,0.0,10.0,1400.0,0.0,10.0
 Alabama,Shiloh,350.0,9.0,17.0,3.0,0.0,13.0,304.0,0.0,4.0
 Alabama,Shelby,1364.0,298.0,0.0,18.0,0.0,42.0,1048.0,0.0,0.0
 Alabama,Sheffield,9074.0,1975.0,30.0,47.0,27.0,195.0,6454.0,51.0,360.0
 Alabama,Semmes,3583.0,138.0,44.0,8.0,0.0,367.0,2801.0,20.0,240.0
 Alabama,Selmont-West Selmont,2574.0,2461.0,0.0,0.0,0.0,16.0,97.0,0.0,0.0
 Alabama,Selma,19987.0,15830.0,77.0,102.0,20.0,72.0,3606.0,58.0,285.0
 Alabama,Section,811.0,5.0,0.0,0.0,0.0,15.0,780.0,0.0,14.0
 Alabama,Scottsboro,14775.0,575.0,123.0,111.0,10.0,636.0,12935.0,249.0,401.0
 Alabama,Satsuma,6152.0,471.0,136.0,44.0,0.0,41.0,5437.0,0.0,40.0
 Alabama,Sardis City,1654.0,0.0,0.0,0.0,0.0,54.0,1595.0,16.0,5.0
 Alabama,Saraland,13715.0,1565.0,93.0,480.0,0.0,255.0,11024.0,84.0,292.0
 Alabama,Red Bay,3143.0,47.0,0.0,8.0,0.0,48.0,3040.0,19.0,7.0
 Alabama,Ashville,2342.0,666.0,3.0,35.0,0.0,131.0,1503.0,17.0,99.0
 Alabama,Ray,480.0,0.0,0.0,0.0,0.0,147.0,333.0,0.0,0.0
 Alabama,Rainsville,4992.0,0.0,38.0,0.0,0.0,225.0,4658.0,195.0,71.0
 Alabama,Dothan,67708.0,22491.0,214.0,753.0,35.0,1826.0,41425.0,472.0,1239.0
 Alabama,Double Springs,1180.0,58.0,23.0,6.0,0.0,1.0,1038.0,0.0,54.0
 Alabama,Douglas,1024.0,0.0,0.0,2.0,0.0,68.0,952.0,17.0,2.0
 Alabama,Dozier,307.0,101.0,0.0,0.0,0.0,1.0,196.0,4.0,5.0
 Alabama,Dunnavant,984.0,0.0,0.0,0.0,0.0,31.0,953.0,31.0,0.0
 Alabama,Dutton,331.0,0.0,3.0,0.0,0.0,10.0,314.0,2.0,4.0
 Alabama,East Brewton,2508.0,761.0,26.0,0.0,0.0,78.0,1623.0,0.0,20.0
 Alabama,East Point,151.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0
 Alabama,Eclectic,912.0,88.0,0.0,0.0,0.0,66.0,693.0,0.0,65.0
 Alabama,Edgewater,905.0,557.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0
 Alabama,Edwardsville,137.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,1.0
 Alabama,Dora,2295.0,272.0,1.0,0.0,0.0,12.0,1934.0,0.0,76.0
 Alabama,Egypt,1254.0,54.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
 Alabama,Elberta,1506.0,12.0,22.0,0.0,0.0,112.0,1353.0,17.0,23.0
 Alabama,Eldridge,204.0,10.0,0.0,0.0,0.0,1.0,192.0,0.0,1.0
 Alabama,Elkmont,430.0,78.0,4.0,0.0,0.0,8.0,335.0,0.0,8.0
 Alabama,Pleasant Groves,560.0,0.0,7.0,3.0,0.0,0.0,541.0,0.0,9.0
 Alabama,Pleasant Grove,10270.0,5010.0,20.0,27.0,0.0,54.0,5181.0,0.0,32.0
 Alabama,Pisgah,717.0,2.0,0.0,0.0,0.0,10.0,679.0,5.0,31.0
 Alabama,Pinson,7448.0,1442.0,0.0,54.0,0.0,160.0,5735.0,150.0,50.0
 Alabama,Pine Ridge,235.0,13.0,6.0,0.0,0.0,48.0,164.0,16.0,29.0
 Alabama,Pine Level,4552.0,19.0,0.0,0.0,0.0,16.0,4454.0,0.0,63.0
 Alabama,Pine Hill,929.0,522.0,0.0,0.0,0.0,0.0,407.0,0.0,0.0
 Alabama,Pine Apple,138.0,45.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0
 Alabama,Elba,3919.0,1447.0,0.0,83.0,0.0,103.0,2219.0,33.0,110.0
 Alabama,Dodge City,714.0,0.0,0.0,0.0,13.0,89.0,580.0,11.0,35.0
 Alabama,Detroit,215.0,41.0,0.0,0.0,0.0,0.0,170.0,0.0,4.0
 Alabama,Demopolis,7249.0,3909.0,0.0,27.0,0.0,294.0,3019.0,240.0,0.0
 Alabama,Rainbow City,9608.0,878.0,0.0,36.0,58.0,202.0,8374.0,0.0,69.0
 Alabama,Ragland,1802.0,392.0,4.0,2.0,0.0,0.0,1378.0,0.0,26.0
