State,City,Population,Unemployment Count
 Alabama,Jackson,5055.0,1758.0
 Alabama,Ivalee,690.0,261.0
 Alabama,Irondale,12398.0,3722.0
 Alabama,Indian Springs Village,2505.0,1028.0
 Alabama,Ider,887.0,381.0
 Alabama,Hytop,422.0,132.0
 Alabama,Hurtsboro,487.0,226.0
 Alabama,Joppa,263.0,169.0
 Alabama,Anniston,22626.0,8736.0
 Alabama,Anderson,253.0,80.0
 Alabama,Andalusia,9058.0,3536.0
 Alabama,Lincoln,6391.0,1816.0
 Alabama,Lillian,1256.0,506.0
 Alabama,Libertyville,146.0,32.0
 Alabama,Lexington,667.0,285.0
 Alabama,Level Plains,2181.0,719.0
 Alabama,Lester,143.0,65.0
 Alabama,Leroy,779.0,244.0
 Alabama,Leighton,859.0,496.0
 Alabama,Leesburg,1055.0,412.0
 Alabama,Leeds,11881.0,3694.0
 Alabama,Langston,211.0,117.0
 Alabama,Lanett,6457.0,2314.0
 Alabama,Lake View,2417.0,603.0
 Alabama,Abanda,52.0,23.0
 Alabama,Abbeville,2646.0,1396.0
 Alabama,Adamsville,4454.0,1498.0
 Alabama,Addison,682.0,292.0
 Alabama,Akron,293.0,148.0
 Alabama,Alabaster,31905.0,7464.0
 Alabama,Albertville,21406.0,6414.0
 Alabama,Alexander City,14787.0,5437.0
 Alabama,Alexandria,3912.0,1024.0
 Alabama,Aliceville,3727.0,1475.0
 Alabama,Allgood,803.0,302.0
 Alabama,Altoona,808.0,370.0
 Alabama,Lineville,2549.0,922.0
 Alabama,Spring Garden,179.0,33.0
 Alabama,Ethelsville,99.0,43.0
 Alabama,Castleberry,543.0,275.0
 Alabama,Chatom,1006.0,459.0
 Alabama,Chelsea,11386.0,2412.0
 Alabama,Cherokee,850.0,382.0
 Alabama,Chickasaw,6005.0,1997.0
 Alabama,Childersburg,5105.0,1823.0
 Alabama,Choccolocco,2279.0,680.0
 Alabama,Chunchula,136.0,79.0
 Alabama,Citronelle,3886.0,1480.0
 Alabama,Clanton,8715.0,2916.0
 Alabama,Clay,9682.0,2625.0
 Alabama,Clayhatchee,441.0,195.0
 Alabama,Clayton,2947.0,2229.0
 Alabama,Cleveland,1206.0,449.0
 Alabama,Clio,856.0,294.0
 Alabama,Coaling,1808.0,511.0
 Alabama,Coats Bend,1842.0,615.0
 Alabama,Coffeeville,383.0,192.0
 Alabama,Coker,819.0,292.0
 Alabama,Collinsville,2104.0,822.0
 Alabama,Colony,345.0,112.0
 Alabama,Columbia,680.0,285.0
 Alabama,Columbiana,4176.0,2441.0
 Alabama,Concord,2044.0,706.0
 Alabama,Coosada,1374.0,503.0
 Alabama,Cordova,2074.0,1115.0
 Alabama,Cottondale,3702.0,1311.0
 Alabama,Cottonwood,1438.0,535.0
 Alabama,County Line,187.0,76.0
 Alabama,Courtland,592.0,197.0
 Alabama,Centreville,2719.0,1185.0
 Alabama,Centre,3570.0,1545.0
 Alabama,Camp Hill,1051.0,472.0
 Alabama,Carbon Hill,1739.0,761.0
 Alabama,West End-Cobb Town,3790.0,1400.0
 Alabama,West Jefferson,442.0,143.0
 Alabama,Westover,1239.0,358.0
 Alabama,West Point,626.0,186.0
 Alabama,White Hall,832.0,332.0
 Alabama,Whatley,0.0,0.0
 Alabama,White Plains,908.0,245.0
 Alabama,Wetumpka,7406.0,3001.0
 Alabama,York,2652.0,999.0
 Alabama,Sterrett,575.0,283.0
 Alabama,Steele,945.0,394.0
 Alabama,Stapleton,1360.0,552.0
 Alabama,Standing Rock,48.0,25.0
 Alabama,Spruce Pine,146.0,108.0
 Alabama,Cowarts,2071.0,629.0
 Alabama,Yellow Bluff,186.0,87.0
 Alabama,Woodstock,1766.0,625.0
 Alabama,Woodland,222.0,89.0
 Alabama,Whitesboro,2139.0,612.0
 Alabama,Wilsonville,2163.0,615.0
 Alabama,Wilton,584.0,192.0
 Alabama,Winfield,4345.0,1700.0
 Alabama,Center Point,16797.0,4535.0
 Alabama,Cedar Bluff,2017.0,807.0
 Alabama,Catherine,20.0,0.0
 Alabama,Carrollton,922.0,384.0
 Alabama,Carolina,285.0,92.0
 Alabama,Carlton,74.0,40.0
 Alabama,Carlisle-Rockledge,2910.0,908.0
 Alabama,Cardiff,30.0,11.0
 Alabama,Woodville,763.0,313.0
 Alabama,Creola,1842.0,711.0
 Alabama,Coffee Springs,264.0,131.0
 Alabama,Tuscumbia,8537.0,3188.0
 Alabama,Tuscaloosa,94865.0,36377.0
 Alabama,Vernon,2202.0,857.0
 Alabama,Tuskegee,9218.0,3445.0
 Alabama,Twin,415.0,169.0
 Alabama,Underwood-Petersville,3425.0,1093.0
 Alabama,Union,269.0,155.0
 Alabama,Union Grove,81.0,25.0
 Alabama,Union Springs,3915.0,1025.0
 Alabama,Uniontown,2841.0,1200.0
 Alabama,Uriah,278.0,194.0
 Alabama,West Blocton,1359.0,621.0
 Alabama,Weogufka,292.0,86.0
 Alabama,Wedowee,714.0,399.0
 Alabama,Webb,1287.0,524.0
 Alabama,Trussville,20351.0,5143.0
 Alabama,Weaver,3072.0,1044.0
 Alabama,Waterloo,143.0,50.0
 Alabama,Warrior,3191.0,1056.0
 Alabama,Valley,9444.0,2934.0
 Alabama,Valley Grande,3912.0,1092.0
 Alabama,Valley Head,587.0,254.0
 Alabama,Walnut Grove,910.0,337.0
 Alabama,Vance,1302.0,303.0
 Alabama,Waldo,246.0,92.0
 Alabama,Wadley,809.0,307.0
 Alabama,Vredenburgh,154.0,81.0
 Alabama,Vinegar Bend,214.0,73.0
 Alabama,Vincent,2032.0,679.0
 Alabama,Vina,335.0,165.0
 Alabama,Vandiver,1020.0,323.0
 Alabama,Waverly,266.0,114.0
 Alabama,Troy,18696.0,6137.0
 Alabama,Vestavia Hills,34116.0,9402.0
 Alabama,Triana,578.0,186.0
 Alabama,Springville,4174.0,1000.0
 Alabama,Stevenson,2194.0,590.0
 Alabama,Stewartville,1956.0,984.0
 Alabama,Stockton,748.0,329.0
 Alabama,Sulligent,1956.0,877.0
 Alabama,Sumiton,2689.0,999.0
 Alabama,Summerdale,986.0,363.0
 Alabama,Susan Moore,731.0,266.0
 Alabama,Sweet Water,304.0,71.0
 Alabama,Sylacauga,12749.0,4105.0
 Alabama,Trinity,2239.0,607.0
 Alabama,Sylvan Springs,1729.0,644.0
 Alabama,Talladega,15931.0,6726.0
 Alabama,Talladega Springs,224.0,85.0
 Alabama,Sylvania,2119.0,624.0
 Alabama,Tarrant,6278.0,2436.0
 Alabama,Taylor,2880.0,651.0
 Alabama,Theodore,5942.0,1615.0
 Alabama,Trafford,601.0,267.0
 Alabama,Thomaston,268.0,127.0
 Alabama,Thomasville,4099.0,1562.0
 Alabama,Toxey,182.0,76.0
 Alabama,Town Creek,998.0,330.0
 Alabama,Tallassee,5380.0,1767.0
 Alabama,Tillmans Corner,19065.0,5597.0
 Alabama,Thorsby,2140.0,806.0
 Alabama,Tibbie,24.0,18.0
 Alabama,Tidmore Bend,1170.0,602.0
 Alaska,Toksook Bay,549.0,140.0
 Alaska,Tonsina,30.0,19.0
 Alaska,Tolsona,0.0,0.0
 Alaska,Teller,165.0,49.0
 Alaska,Tenakee Springs,150.0,50.0
 Alaska,Tetlin,121.0,38.0
 Alaska,Tok,1331.0,322.0
 Alaska,Thorne Bay,566.0,166.0
 Alaska,Togiak,787.0,301.0
 Alaska,Tazlina,358.0,103.0
 Alaska,Mekoryuk,174.0,42.0
 Alaska,South Naknek,63.0,19.0
 Alaska,Tanana,277.0,96.0
 Alaska,Mentasta Lake,157.0,69.0
 Alaska,Mertarvik,0.0,0.0
 Alaska,Trapper Creek,432.0,183.0
 Alaska,Meadow Lakes,7424.0,2073.0
 Alaska,Marshall,350.0,79.0
 Alaska,Manokotak,691.0,228.0
 Alaska,Manley Hot Springs,84.0,20.0
 Alaska,Soldotna,4409.0,1260.0
 Alaska,Mendeltna,22.0,0.0
