State,City,Population,Never Married,Married,Divorced,Separated,Widowed
 Alabama,Magnolia Springs,752.0,85.0,490.0,36.0,11.0,44.0
 Alabama,Madrid,355.0,47.0,158.0,32.0,7.0,38.0
 Alabama,Madison,45590.0,10264.0,21089.0,3258.0,319.0,1257.0
 Alabama,McMullen,5.0,0.0,0.0,3.0,0.0,2.0
 Alabama,McKenzie,551.0,149.0,172.0,58.0,13.0,53.0
 Alabama,McIntosh,422.0,113.0,155.0,26.0,14.0,17.0
 Alabama,Marion,3551.0,1565.0,711.0,411.0,77.0,199.0
 Alabama,Macedonia,165.0,13.0,74.0,4.0,4.0,39.0
 Alabama,Lynn,563.0,91.0,242.0,75.0,19.0,56.0
 Alabama,Luverne,2825.0,705.0,922.0,385.0,20.0,264.0
 Alabama,Loxley,1886.0,416.0,682.0,219.0,16.0,97.0
 Alabama,Lowndesboro,118.0,8.0,76.0,7.0,0.0,6.0
 Alabama,Louisville,440.0,133.0,201.0,38.0,6.0,28.0
 Alabama,Lookout Mountain,1152.0,277.0,580.0,91.0,13.0,92.0
 Alabama,Locust Fork,1441.0,351.0,609.0,130.0,19.0,79.0
 Alabama,Lockhart,443.0,83.0,163.0,60.0,4.0,31.0
 Alabama,Loachapoka,217.0,61.0,64.0,13.0,20.0,10.0
 Alabama,Livingston,3466.0,1974.0,736.0,211.0,20.0,130.0
 Alabama,Littleville,1029.0,156.0,516.0,105.0,23.0,65.0
 Alabama,McDonald Chapel,530.0,64.0,128.0,96.0,39.0,42.0
 Alabama,Maytown,359.0,67.0,175.0,36.0,2.0,30.0
 Alabama,Meadowbrook,8752.0,1810.0,4515.0,486.0,47.0,386.0
 Alabama,Megargel,64.0,0.0,64.0,0.0,0.0,0.0
 Alabama,Ariton,702.0,217.0,206.0,86.0,29.0,45.0
 Alabama,Moundville,2183.0,490.0,821.0,154.0,79.0,224.0
 Alabama,Moulton,3386.0,657.0,1287.0,332.0,100.0,413.0
 Alabama,Mosses,1036.0,509.0,143.0,66.0,40.0,74.0
 Alabama,Morrison Crossroads,190.0,9.0,80.0,62.0,27.0,0.0
